상품명,권장 연령,권장 사이즈,사료 종류,사료 형태,주 단백질원,알갱이 크기,제조국,원산지,조단백,조지방,조섬유,조회분,수분,칼슘,인,오메가3,오메가6,기타 영양소,주성분
이즈칸 그레인프리 센서티브 오리와 채소,어덜트,All,주식,건식,,1Cm,대한민국,대한민국,25%,16%,5%,12%,12%,1.4%,0.7%,0.4%,3%,,"['생오리고기', '생닭고기', '고구마분말', '타피오카', '건조 감자', '완두콩', '바나나분말', '가수분해 닭고기분말', '토마토', '비트', '브로콜리', '파슬리', '딸기', '오렌지', '사과', '망고', '치킨오일', '연어오일', '정제섬유소', '계란분말', '맥주효모', '아마인', '식염', 'DL-메치오닌', '비타민E', '비타민C', '염화칼륨', '비타민제합제', '엽산', '바이오틴', '아연', '셀레늄', '구리', '철', '아연', '코발트', '요오드', '칼슘', '망간', '유기태 미네랄', 'L-트립토판', '콘드로이틴', 'L-카르니틴', '글루코사민', '프로테아제', '프로바이오틱스', '베타카로틴', '프락토 올리고당', '천연한약제', '마늘추출물', '유카추출물', '페뉴그릭']"
이즈칸 그레인프리 시니어,시니어,All,주식,건식,,1Cm,대한민국,대한민국,28%,10%,6%,10%,12%,1.2%,0.8%,0.6%,2.5%,,"['뼈바른 생닭고기', '닭고기분말', '타피오카', '비트펄프', '고구마', '바나나분말', '돼지고기분', '가수분해닭고기분', '닭기름', '아마인', '정제섬유소', '천연향미제(가수분해닭고기)', '가수분해콩단백질', '생선분말', '건조계란분말', '정제소금', '건조맥주효모', '공액리놀랜산(CLA)', '페뉴그릭', '비타민제합제', '미네랄프리믹스(철분,아연,망간,구리,칼슘,코발트,셀레늄)', 'L-카르니틴', '유카추출물', '비타민E', '미량광물질류합제', '프로테아제(단백질분해효소)', 'FOS', '글루코사민', '콘드로이친(뮤코다당)']"
이즈칸 램30,전연령,All,주식,건식,,1Cm,대한민국,대한민국,30%,16%,3%,13%,12%,1%,0.8%,0.6%,2.5%,,"['생양고기', '곡류', '박류', '가수분해닭고기분(천연향미제)', '비트펄프', '닭기름', '아마인', 'DL-메치오닌', '미네랄프리믹스(철분,아연,망간,구리,칼슘,코발트,셀레늄)', '비타민제합제', '백리향', '울금', '페뉴그릭', '프로테아제(단백질분해효소)', '염화칼륨', '유카추출물', '감귤추출물', '비타민E']"
이즈칸 올라이프33,전연령,All,주식,건식,,1Cm,대한민국,대한민국,33%,20%,3%,13%,12%,1%,0.8%,0%,0%,,"['닭고기분', '쌀', '옥수수', '소맥', '육분', '닭기름', '비트펄프', '귀리피', '가수분해닭고기분(천연향미제)', '미네랄(아연단백질화합물, 철단백질화합물, 구리단백질화합물, 망간단백질화합물, 요오드화에틸렌디아민', '정제소금', 'DL-메치오닌', 'L-라이신', '비타민제합제', '페뉴그릭', '비타민E', '비타민C', '프로테아제(단백질분해효소)', '추출제합제', '유카추출물', '과실 및 과채추출물']"
이즈칸 퍼피(스몰),퍼피,All,주식,건식,,0.55Cm,대한민국,대한민국,32%,21%,3%,9%,12%,1.5%,0.9%,0%,0%,,"['닭고기', '닭고기분', '현미', '닭기름', '비트펄프', '계란분말', '맥주효모', '아마인', '가수분해닭고기분(천연향미제)', '정제소금', 'DL-메치오닌', '비타민E', '비타민C', '비타민제합제', '미네랄(아연단백질화합물, 철단백질화합물, 구리단백질화합물, 망간단백질화합물, 요오드화에틸렌디아민', 'L-트립토판', '베타카로틴', '프락토올리고당', '키토산', '백리향', '울금', '페뉴그릭', '유카추출물', '프로테아제(단백질분해효소)']"
이즈칸 퍼피(라지바이트),퍼피,All,주식,건식,,1Cm,대한민국,대한민국,32%,21%,3%,9%,12%,1.5%,0.9%,0%,0%,,"['닭고기', '닭고기분', '현미', '닭기름', '비트펄프', '계란분말', '맥주효모', '아마인', '가수분해닭고기분(천연향미제)', '정제소금', 'DL-메치오닌', '비타민E', '비타민C', '비타민제합제', '미네랄(아연단백질화합물, 철단백질화합물, 구리단백질화합물, 망간단백질화합물, 요오드화에틸렌디아민', 'L-트립토판', '베타카로틴', '프락토올리고당', '키토산', '백리향', '울금', '페뉴그릭', '유카추출물', '프로테아제(단백질분해효소)']"
이즈칸 어덜트(라지바이트),어덜트,All,주식,건식,,0.94Cm,대한민국,대한민국,26%,16%,3%,9%,12%,1.7%,0.9%,0%,0%,,"['닭고기', '닭고기분', '현미', '닭기름', '비트펄프', '계란분말', '맥주효모', '아마인', '가수분해닭고기분(천연향미제)', '정제소금', 'DL-메치오닌', '비타민E', '비타민C', '비타민제합제', '미네랄(아연단백질화합물, 철단백질화합물, 구리단백질화합물, 망간단백질화합물, 요오드화에틸렌디아민', 'L-트립토판', '베타카로틴', '프락토올리고당', '키토산', '글루코사민', '콘드로이친(뮤코다당)', 'L-카르니틴', '백리향', '울금', '페뉴그릭', '유카추출물', '프로테아제(단백질분해효소)']"
젠틀베이크 그레인프리 연어,성견용,ALL,주식용,건식,연어,1.7Cm,뉴질랜드,뉴질랜드,40%,20%,6%,8%,12%,1.5%,1.1%,0%,0%, 탄수화물 (14 %)이상,"['뉴질랜드산 킹 살몬(64%)', '호박', '아마씨', '당근', '오가닉 대형 켈프(해조류)', '초록잎홍합 0.2%', '블루베리 0.2%', '마누카 꿀 0.1%', '오가닉 사과 식초 0.1%', '아연아미노산킬레이트', '구리아미노산킬레이트', '셀레늄 효모', '망간아미노산킬레이트', '비타민 E', '비타민 B1', '비타민 D3', '엽산']"
젠틀베이크 그레인프리 호키,성견용,ALL,주식용,건식,민태,1.7Cm,뉴질랜드,뉴질랜드,40%,10%,6%,8%,12%,1.5%,1.1%,0%,0%, 탄수화물 (24 %)이상,"['뉴질랜드산 야생 호키(64%)', '호박', '아마씨', '당근', '오가닉 대형 켈프(해조류)', '초록잎홍합 0.2%', '블루베리 0.2%', '마누카 꿀 0.1%', '오가닉 사과 식초 0.1%', '아연아미노산킬레이트', '구리아미노산킬레이트', '셀레늄 효모', '망간아미노산킬레이트', '비타민 E', '비타민 B1', '비타민 D3', '엽산']"
젠틀베이크 그레인프리 양고기,성견용,ALL,주식용,건식,양고기,1.7Cm,뉴질랜드,뉴질랜드,38%,19%,6%,6%,12%,1.1%,0.9%,0%,0%, 탄수화물 (19 %)이상,"['뉴질랜드산 야생 양고기(64%)', '호박', '아마씨', '당근', '오가닉 대형 켈프(해조류)', '초록잎홍합 0.2%', '블루베리 0.2%', '마누카 꿀 0.1%', '오가닉 사과 식초 0.1%', '아연아미노산킬레이트', '구리아미노산킬레이트', '셀레늄 효모', '망간아미노산킬레이트', '비타민 E', '비타민 B1', '비타민 D3', '엽산']"
젠틀베이크 그레인프리 소고기,성견용,ALL,주식용,건식,소고기,1.7Cm,뉴질랜드,뉴질랜드,38%,18%,6%,6%,12%,1.1%,0.9%,0%,0%, 탄수화물 (20 %)이상,"['자연 방목한 뉴질랜드산 소고기(64%)', '호박', '아마씨', '당근', '오가닉 대형 켈프(해조류)', '초록잎홍합 0.2%', '블루베리 0.2%', '마누카 꿀 0.1%', '오가닉 사과 식초 0.1%', '아연아미노산킬레이트', '구리아미노산킬레이트', '셀레늄 효모', '망간아미노산킬레이트', '비타민 E', '비타민 B1', '비타민 D3', '엽산']"
지니펫 홍삼함유 기본식 유기농 소형,전연령,소형견,주식,건식,,0.6Cm,한국,한국,24%,14%,6%,8%,12%,0.9%,0.4%,0%,0%, 홍삼함류량 (2.6 %)이하,"['유기농 닭고기', '유기농보리', '유기농현미', '유기농 해바라기씨', '유기농 대두박', '유기농 닭고기분말', '유기농 아마씨', '유기농 고구마', '유기농 닭지방', '홍삼', '유기농 귀리', '유기농천연향미제', '인산칼슘', '증삼(인삼)농축액분말', '비타민 A', '비타민 D3', '비타민 B1', '비타민 B2', '비타민 B6', '니코틴산', '비오틴', '판토텐산', '엽산', '철', '구리', '요오드', '아연', '셀레늄', '망간', '코발트', '유기농 달맞이꽃종자분말', '유기농 당근', '유기농 시금치', '유기농 미나리', '유카추출물', '알긴산', '염화콜린', '유산균', '비타민 C', '비타민 E']"
지니펫 홍삼함유 기본식 유기농 중형,전연령,소형견,주식,건식,,0.8Cm,한국,한국,24%,14%,6%,8%,12%,0.9%,0.4%,0%,0%, 홍삼함류량 (2.6 %)이하,"['유기농 닭고기', '유기농 보리', '유기농 현미', '유기농 해바라기씨', '유기농 대두박', '유기농 닭고기분말', '유기농 아마씨', '유기농 고구마', '유기농 닭지방', '홍삼', '유기농 귀리', '유기농 천연향미제', '인산칼슘', '증삼(인삼)농축액분말', '비타민 A', '비타민 D3', '비타민 B1', '비타민 B2', '비타민 B6', '니코틴산', '비오틴', '판토텐산', '엽산', '철', '구리', '요오드', '아연', '셀레늄', '망간', '코발트', '유기농 달맞이꽃종자분말', '유기농 당근', '유기농 시금치', '유기농 미나리', '유카추출물', '알긴산', '염화콜린', '유산균', '비타민 C', '비타민 E']"
지니펫 홍삼&아로니아 함유 유기농 소형,전연령,소형견,주식,건식,,0.6Cm,한국,한국,24%,14%,6%,8%,12%,0.9%,0.4%,0%,0%, 홍삼함류량 (1.8 %)이하,"['유기농 닭고기', '유기농 닭고기분말', '유기농 현미', '유기농 해바라기씨', '유기농 아마씨', '유기농 대두박', '유기농 닭지방', '유기농 옥수수 글루텐', '유기농 보리', '유기농 귀리', '유기농 고구마', '유기농 천연향미제', '유기농 당근', '유기농 미나리', '홍삼', '아로니아열매농축액', '인산칼슘', '증삼(인삼)농축액분말', '유산균', '비타민 A', '비타민 D3', '비타민 B1', '비타민 B2', '비타민 B6', '니코틴산', '비오틴', '엽산', '판토텐산', '철', '구리', '요오드', '아연', '셀레늄', '망간', '코발트', '유카추출분말', '비타민 E']"
지니펫 홍삼&아로니아 함유 유기농 중형,전연령,중형견,주식,건식,,0.8Cm,한국,한국,24%,14%,6%,8%,12%,0.9%,0.4%,0%,0%, 홍삼함류량 (1.8 %)이하,"['유기농 닭고기', '유기농 닭고기분말', '유기농 현미', '유기농 해바라기씨', '유기농 아마씨', '유기농 대두박', '유기농 닭지방', '유기농 옥글루텐', '유기농 보리', '유기농 귀리', '유기농 고구마', '유기농 천연향미제', '유기농 당근', '유기농 미나리', '홍삼', '아로니아열매농축액', '인산칼슘', '증삼(인삼)농축액분말', '유산균', '비타민 A', '비타민 D3', '비타민 B1', '비타민 B2', '비타민 B6', '니코틴산', '비오틴', '엽산', '판토텐산', '철', '구리', '요오드', '아연', '셀레늄', '망간', '코발트', '유카추출분말', '비타민 E']"
지니펫 홍삼&유카 함유 유기농 소형,전연령,소형견,주식,건식,,0.6Cm,한국,한국,24%,14%,6%,8%,12%,0.9%,0.4%,0%,0%, 홍삼함류량 (1.8 %)이하,"['유기농 닭고기', '유기농 보리', '유기농 현미', '유기농 해바라기씨', '유기농 닭지방', '유기농 아마씨', '유기농 귀리', '유기농 고구마', '유기농 현미', '유기농 대두박', '유기농 옥글루텐', '유기농 천연향미제', '유기농 당근', '유기농 미나리', '유기농 시금치', '홍삼', '마추출물분말', '인산칼슘', '유산균', '증삼(인삼)농축액분말', '비타민 A', '비타민 D3', '비타민 B1', '비타민 B2', '비타민 B6', '니코틴산', '비오틴', '엽산', '판토텐산', '철', '구리', '요오드', '아연', '셀레늄', '망간', '코발트', '유카추출분말', '비타민 C']"
지니펫 홍삼&유카 함유 유기농 중형,전연령,중형견,주식,건식,,0.8Cm,한국,한국,24%,14%,6%,8%,12%,0.9%,0.4%,0%,0%, 홍삼함류량 (1.8 %)이하,"['유기농 닭고기', '유기농 보리', '유기농 현미', '유기농 해바라기씨', '유기농 닭지방', '유기농 아마씨', '유기농 귀리', '유기농 고구마', '유기농 현미', '유기농 대두박', '유기농 옥글루텐', '유기농 천연향미제', '유기농 당근', '유기농 미나리', '유기농 시금치', '홍삼', '마추출물분말', '인산칼슘', '유산균', '증삼(인삼)농축액분말', '비타민 A', '비타민 D3', '비타민 B1', '비타민 B2', '비타민 B6', '니코틴산', '비오틴', '엽산', '판토텐산', '철', '구리', '요오드', '아연', '셀레늄', '망간', '코발트', '유카추출분말', '비타민 C']"
지니펫 더홀리스틱 홈삼&신선한연어,전연령,all,주식,건식,,0.8Cm,한국,한국,25%,14%,6%,8%,12%,0.9%,0.4%,0%,0%, 홍삼함류량 (2.31 %)이하,"['연어', '귀리', '아마씨', '유기농 대두박', '양고기분말', '닭고기분말', '계유', '어분', '향미제', '락토바실러스', '홍삼', '인산칼슘', '오리연골', '강황', '이눌린', '타우린', '인삼농축액분말', '건조염', '미네랄프리믹스', '비타민프리믹스', '유카추출물', '염화콜린', '칼슘', '글루코사민', '콘드로이친', '홍삼분말']"
지니펫 더홀리스틱 홍삼&국내산오리,전연령,all,주식,건식,,0.8Cm,한국,한국,26%,9%,6%,8%,12%,0.9%,0.4%,0%,0%, 홍삼함류량 (2.31 %)이하,"['오리고기', '유기농 완두콩', '유기농 대두박', '귀리', '어분', '계유', '아마씨', '락토바실러스', '향미제', '비트펄프', '홍삼', '인산칼슘', '가르시아 캄보지아', '이눌린', '인삼농축액분말', '건조염', '타우린', '규조토', '미네랄프리믹스', '비타민프리믹스', 'DHA', '유카추출물', '염화콜린', '홍삼분말']"
지위픽 독식품 사슴고기,ALL,ALL,주식용,에어드라이,사슴,확인불가,뉴질랜드,뉴질랜드,50%,29%,1%,10%,8%,1.5%,1.32%,0.79%,1.65%, DHA (0.11 %)이상 EPA (0.06 %)이상 콘드로이틴 (1500 mg/kg) 탄수화물 (2 %)이상 타우린 (1200 mg/kg),"['사슴고기', '사슴 트라이프', '사슴 심장', '사슴 폐', '사슴 간', '사슴 신장', '녹색 홍합(3%이상)', '사슴뼈', '레시틴', '치커리(이눌린)', '건조 켈프', '제2인산칼륨', '황산마그네슘', '아연아미노산킬레이트', '구리아미노산킬레이트', '철아미노산킬레이트', '망간아미노산킬레이트', '셀레늄 효모', '소금', '파슬리', '구연산', '혼합토코페롤', '비타민 E', '티아민질산염', '비타민 D3', '엽산']"
지위픽 독식품 양고기,ALL,ALL,주식용,에어드라이,양고기,확인불가,뉴질랜드,뉴질랜드,40%,38%,1%,10%,8%,1.88%,1.43%,1.04%,2.23%, DHA (0.08 %)이상 EPA (0.11 %)이상 콘드로이틴 (1500 mg/kg) 탄수화물 (3 %)이상 타우린 (2200 mg/kg),"['양고기', '양 심장', '양 트라이프', '양 간', '양 신장', '양 허파', '양의 뼈', '녹색 홍합(3%이상)', '렉틴', '치커리(이눌린)', '건조 켈프', '제2인산칼륨', '황산마그네슘', '아연아미노산킬레이트', '구리아미노산킬레이트', '철아미노산킬레이트', '망간아미노산킬레이트', '셀레늄 효모', '소금', '파슬리', '구연산', '혼합토코페롤', '비타민 E', '티아민질산염', '비타민 D3', '엽산']"
지위픽 독식품 소고기,ALL,소형견,주식용,에어드라이,소고기,확인불가,뉴질랜드,뉴질랜드,44%,35%,1%,10%,8%,2.4%,1.73%,0.84%,1.91%, DHA (0.05 %)이상 EPA (0.09 %)이상 콘드로이틴 (1500 mg/kg) 탄수화물 (4 %)이상 타우린 (2500 mg/kg),"['소고기(58% 이상)', '소 심장', '소 신장', '소 트라이프', '소 간', '소 허파', '녹색 홍합(3%이상)', '소의 뼈', '렉틴', '치커리(이눌린)', '건조 켈프', '제2인산칼륨', '황산마그네슘', '아연아미노산킬레이트', '구리아미노산킬레이트', '철아미노산킬레이트', '망간아미노산킬레이트', '셀레늄 효모', '소금', '파슬리', '구연산', '혼합토코페롤', '비타민 E', '티아민질산염', '비타민 D3', '엽산']"
